y_R, meanu_Uinfty
-2.26554267650158, 1.1951807228915663
-2.1306638566912537, 1.1863453815261045
-1.9999999999999998, 1.180722891566265
-1.865121180189673, 1.1815261044176706
-1.793466807165437, 1.1799196787148594
-1.662802950474183, 1.163855421686747
-1.5953635405690205, 1.1566265060240963
-1.5279241306638567, 1.1333333333333333
-1.4646996838777655, 1.0779116465863454
-1.3972602739726026, 0.9991967871485943
-1.3340358271865118, 0.9132530120481928
-1.199157007376186, 0.7445783132530123
-1.1317175974710216, 0.6562248995983936
-1.06849315068493, 0.5638554216867471
-1.0010537407797675, 0.476305220883534
-0.8703898840885138, 0.4128514056224897
-0.794520547945206, 0.4200803212851407
-0.7312961011591144, 0.4393574297188756
-0.6638566912539514, 0.4602409638554219
-0.5331928345626968, 0.48755020080321276
-0.3983140147523705, 0.4995983935742975
-0.39831401475237005, 0.48514056224899593
-0.3308746048472071, 0.49317269076305237
-0.26765015806111814, 0.4955823293172691
-0.19599578503688075, 0.5084337349397593
-0.13277133825079002, 0.527710843373494
-0.06533192834562618, 0.5502008032128516
0.0021074815595363283, 0.5526104417670684
0.06533192834562662, 0.5759036144578311
0.13277133825079046, 0.5670682730923695
0.20021074815595385, 0.5445783132530122
0.26343519494204415, 0.5204819277108435
0.3983140147523718, 0.49799196787148625
0.5331928345626986, 0.5172690763052211
0.6680716543730245, 0.5277108433734944
0.7987355110642786, 0.5092369477911647
0.8703898840885138, 0.5108433734939758
0.9293993677555328, 0.5285140562248996
1.001053740779768, 0.583132530120482
1.0684931506849313, 0.6530120481927711
1.1359325605900947, 0.7333333333333333
1.1991570073761855, 0.8200803212851405
1.2665964172813489, 0.9108433734939759
1.3340358271865123, 0.98714859437751
1.4014752370916757, 1.0626506024096385
1.468914646996839, 1.1172690763052209
1.5321390937829298, 1.1542168674698794
1.6670179135932557, 1.1879518072289157
1.7976817702845107, 1.195983935742972
1.9325605900948366, 1.197590361445783
2.0674394099051625, 1.2008032128514057
2.1981032665964175, 1.2056224899598393
2.3329820864067443, 1.21285140562249
