cd_turbine1,cd_turbine2,cp_turbine1,cp_turbine2,dt,nx,ny,nz,tsr_turbine1,tsr_turbine2,vel_dir_0,vel_dir_1,vel_dir_2,vel_mag_0,vel_mag_1,vel_mag_2,yaw
0.4934010123980864,0.40659272300233534,0.28991687419143297,0.2223411425367825,0.001,32.0,96.0,24.0,6.0,4.0,1.251576463281918,1.1401977168607675,1.3724378387252705,7.833655458089344,7.837803637669687,7.833853375798973,-30.0
0.5414663257771275,0.3918205632263197,0.3237431576803835,0.20788895534735308,0.001,32.0,96.0,24.0,6.0,4.0,0.9813403131099556,0.8419316082106513,1.1029649358840572,7.71471150832876,7.713343409234112,7.708507989838643,-25.0
0.5828234975369183,0.37759095593497,0.3522497617168565,0.19425262579295408,0.001,32.0,96.0,24.0,6.0,4.0,0.6115159523332526,0.4674247953752868,0.7681552745537058,7.606957782227968,7.612809300842434,7.6051191186419524,-20.0
0.6162307819044991,0.3661502433511635,0.3749085285113435,0.18343893470979625,0.001,32.0,96.0,24.0,6.0,4.0,0.1855831795501449,0.015578406839352648,0.35851138614048383,7.523794161433985,7.5276327665463185,7.5232579000429105,-15.0
0.6408088438906845,0.35752040142877506,0.3914128667496711,0.1753376782164333,0.001,32.0,96.0,24.0,6.0,4.0,-0.26887768987439364,-0.4552809085893349,-0.06883251650428372,7.465848689205647,7.466806510806718,7.467893474046936,-10.0
0.6558032323085082,0.35233121296429354,0.4014588964501099,0.17051476580362876,0.001,32.0,96.0,24.0,6.0,4.0,-0.7155018964220645,-0.9171111578602708,-0.4814136953829761,7.437572940852274,7.437258661740332,7.442748915928518,-5.0
0.6608590684935961,0.35046457004831505,0.4048692840033652,0.1688137115892855,0.001,32.0,96.0,24.0,6.0,4.0,-1.1036661404226482,-1.3510945515593114,-0.9340023885456192,7.442655155915069,7.437736581034838,7.438451663675187,0.0
0.6558687340026146,0.3518957924040879,0.4015251847047304,0.1701802296080559,0.001,32.0,96.0,24.0,6.0,4.0,-1.5228160301238785,-1.7020892488521766,-1.3320430606496485,7.466514819953293,7.47006809990367,7.466988274589076,5.0
0.6409684921745672,0.35662666960982464,0.39157945623546897,0.17463752120753284,0.001,32.0,96.0,24.0,6.0,4.0,-1.87303332650538,-2.0548139949620405,-1.6755062585679972,7.521832610045844,7.522877446862543,7.522506597977894,10.0
0.6164616114482554,0.36472641500930136,0.3751315203726046,0.18230017404832727,0.001,32.0,96.0,24.0,6.0,4.0,-2.148947152976343,-2.3325726611127418,-1.9688380469513764,7.602214202153222,7.6025786724939515,7.604848367460401,15.0
0.5830963726003356,0.3758045294647984,0.3525129340327629,0.1927318373340539,0.001,32.0,96.0,24.0,6.0,4.0,-2.3424595783545974,-2.50562549088653,-2.1855524762306398,7.7046696438970415,7.704540275885463,7.708383950822344,20.0
0.5417398726630314,0.3893029313923691,0.3239961690388558,0.20550111645734745,0.001,32.0,96.0,24.0,6.0,4.0,-2.4234658726601137,-2.5519635291074296,-2.265699302224624,7.829026136962381,7.825813556520827,7.825767627638244,25.0
0.49364401402880653,0.40536898447195,0.29012212988263064,0.22084219063263644,0.001,32.0,96.0,24.0,6.0,4.0,-2.352958799112723,-2.485845503084635,-2.2340230055522343,7.961824259395436,7.964733855781921,7.961630375608525,30.0
